# 字符	拼音	双拼	辅助码	完整编码	权重	来源
㓁	wang	wh	bc	whbc	0	chars
㓂	kou	kb	bv	kbbv	0	chars
㓃	chui	iv	bp	ivbp	0	chars
㓃	du	du	bp	dubp	0	chars
㓃	zha	va	bp	vabp	0	chars
㓄	zhen	vf	iu	vfiu	0	chars
㓅	ting	ty	in	tyin	0	chars
㓆	lun	lp	ip	lpip	0	chars
㓇	wo	wo	ik	woik	0	chars
㓈	bei	bz	ir	bzir	0	chars
㓈	bing	by	ir	byir	0	chars
㓈	fei	fz	ir	fzir	0	chars
㓈	ye	ye	ir	yeir	0	chars
㓉	huan	hr	ir	hrir	0	chars
㓉	huo	ho	ir	hoir	0	chars
㓊	dong	ds	ir	dsir	0	chars
㓋	gong	gs	ic	gsic	0	chars
㓌	cheng	ig	ig	igig	0	chars
㓍	chong	is	iu	isiu	0	chars
㓎	qin	qn	ie	qnie	0	chars
㓏	jiong	js	ir	jsir	0	chars
㓐	lu	lu	ig	luig	0	chars
㓑	xing	xy	ij	xyij	0	chars
㓒	qi	qi	ip	qiip	0	chars
㓓	nan	nj	ij	njij	0	chars
㓔	xie	xx	ii	xxii	0	chars
㓕	mie	mx	if	mxif	0	chars
㓖	bi	bi	ij	biij	0	chars
㓖	bie	bx	ij	bxij	0	chars
㓗	jie	jx	if	jxif	0	chars
㓗	qi	qi	if	qiif	0	chars
㓘	su	su	hg	suhg	0	chars
㓙	xiong	xs	uk	xsuk	0	chars
㓚	gong	gs	mn	gsmn	0	chars
㓛	gong	gs	mh	gsmh	0	chars
㓜	you	yb	vh	ybvh	0	chars
㓝	xing	xy	tn	xytn	0	chars
㓞	qi	qi	qh	qiqh	0	chars
㓞	qia	qw	qh	qwqh	0	chars
㓞	yao	yk	qh	ykqh	0	chars
㓟	pi	pi	dn	pidn	0	chars
㓠	dian	dm	yn	dmyn	0	chars
㓡	fou	fb	on	fbon	0	chars
㓡	fu	fu	on	fuon	0	chars
㓡	gua	gw	on	gwon	0	chars
㓢	luo	lo	hn	lohn	0	chars
㓣	ge	ge	on	geon	0	chars
㓣	qia	qw	on	qwon	0	chars
㓤	jie	jx	gn	jxgn	0	chars
㓤	qia	qw	gn	qwgn	0	chars
㓥	tang	th	fn	thfn	0	chars
㓦	bai	bl	mn	blmn	0	chars
㓧	gan	gj	on	gjon	0	chars
㓧	yan	yj	on	yjon	0	chars
㓨	ci	ci	kn	cikn	0	chars
㓩	jie	jx	nn	jxnn	0	chars
㓩	xuan	xr	nn	xrnn	0	chars
㓪	lang	lh	ih	lhih	0	chars
㓫	dai	dl	kn	dlkn	0	chars
㓬	ku	ku	fn	kufn	0	chars
㓭	he	he	an	hean	0	chars
㓭	she	ue	an	uean	0	chars
㓮	diao	dc	bn	dcbn	0	chars
㓯	li	li	vn	livn	0	chars
㓰	hua	hw	mn	hwmn	0	chars
㓱	shu	uu	on	uuon	0	chars
㓱	tou	tb	on	tbon	0	chars
㓲	pian	pm	hn	pmhn	0	chars
㓳	di	di	an	dian	0	chars
㓴	jun	jp	mn	jpmn	0	chars
㓴	ruan	rr	mn	rrmn	0	chars
㓵	e	ee	rn	eern	0	chars
㓶	qie	qx	qn	qxqn	0	chars
㓷	yi	yi	hn	yihn	0	chars
㓸	dou	db	rn	dbrn	0	chars
㓸	jue	jt	rn	jtrn	0	chars
㓸	zhuo	vo	rn	vorn	0	chars
㓹	cui	cv	mn	cvmn	0	chars
㓹	ji	ji	mn	jimn	0	chars
㓹	rui	rv	mn	rvmn	0	chars
㓺	jian	jm	yn	jmyn	0	chars
㓺	qian	qm	yn	qmyn	0	chars
㓻	pi	pi	wn	piwn	0	chars
㓼	chi	ii	dn	iidn	0	chars
㓼	chong	is	dn	isdn	0	chars
㓽	chong	is	un	isun	0	chars
㓾	chi	ii	sn	iisn	0	chars
㓾	qi	qi	sn	qisn	0	chars
㓾	xi	xi	sn	xisn	0	chars
㓿	li	li	hn	lihn	0	chars
㔀	lve	lt	an	ltan	0	chars
㔀	qing	qy	an	qyan	0	chars
㔁	deng	dg	nn	dgnn	0	chars
㔂	lin	ln	fn	lnfn	0	chars
㔃	jue	jt	vh	jtvh	0	chars
㔃	pi	pi	vh	pivh	0	chars
㔃	xue	xt	vh	xtvh	0	chars
㔄	su	su	mn	sumn	0	chars
㔅	xiao	xc	ln	xcln	0	chars
㔆	zan	zj	kn	zjkn	0	chars
㔇	po	po	nn	ponn	0	chars
㔈	fei	fz	tn	fztn	0	chars
㔉	zhu	vu	sn	vusn	0	chars
㔊	dan	dj	yn	djyn	0	chars
㔊	zhan	vj	yn	vjyn	0	chars
㔋	jian	jm	sn	jmsn	0	chars
㔋	lan	lj	sn	ljsn	0	chars
㔌	cou	cb	sn	cbsn	0	chars
㔌	zhou	vb	sn	vbsn	0	chars
㔌	zou	zb	sn	zbsn	0	chars
㔍	chua	iw	hn	iwhn	0	chars
㔍	duo	do	hn	dohn	0	chars
㔍	zha	va	hn	vahn	0	chars
㔎	xie	xx	uh	xxuh	0	chars
㔎	yi	yi	uh	yiuh	0	chars
㔏	li	li	mn	limn	0	chars
㔏	luo	lo	mn	lomn	0	chars
㔐	qian	qm	hn	qmhn	0	chars
㔑	chi	ii	th	iith	0	chars
㔑	dao	dk	th	dkth	0	chars
㔑	qi	qi	th	qith	0	chars
㔑	shui	uv	th	uvth	0	chars
㔒	xi	xi	un	xiun	0	chars
㔓	jian	jm	hs	jmhs	0	chars
㔓	xian	xm	hs	xmhs	0	chars
㔕	ji	ji	os	jios	0	chars
㔕	yi	yi	os	yios	0	chars
㔗	bei	bz	ls	bzls	0	chars
㔗	fei	fz	ls	fzls	0	chars
㔗	fu	fu	ls	fuls	0	chars
㔘	chu	iu	us	iuus	0	chars
㔙	bang	bh	ts	bhts	0	chars
㔙	beng	bg	ts	bgts	0	chars
㔙	peng	pg	ts	pgts	0	chars
㔚	jie	jx	hs	jxhs	0	chars
㔚	kou	kb	hs	kbhs	0	chars
㔜	ba	ba	bs	babs	0	chars
㔜	bo	bo	bs	bobs	0	chars
㔝	liang	ld	ms	ldms	0	chars
㔞	kuai	ky	hs	kyhs	0	chars
㔞	kuang	kd	hs	kdhs	0	chars
㔞	wang	wh	hs	whhs	0	chars
㔟	shi	ui	hs	uihs	0	chars
㔠	he	he	as	heas	0	chars
㔠	jia	jw	as	jwas	0	chars
㔠	xia	xw	as	xwas	0	chars
㔡	bie	bx	hs	bxhs	0	chars
㔢	jue	jt	vs	jtvs	0	chars
㔢	xue	xt	vs	xtvs	0	chars
㔣	lei	lz	ws	lzws	0	chars
㔤	shen	uf	js	ufjs	0	chars
㔤	xin	xn	js	xnjs	0	chars
㔥	bai	bl	ws	blws	0	chars
㔥	pi	pi	ws	piws	0	chars
㔦	yang	yh	ts	yhts	0	chars
㔧	lv	lv	ys	lvys	0	chars
㔧	xue	xt	ys	xtys	0	chars
㔨	bei	bz	pb	bzpb	0	chars
㔩	e	ee	pt	eept	0	chars
㔪	lu	lu	pi	lupi	0	chars
㔫	zuo	zo	kp	zokp	0	chars
㔬	zhuo	vo	pj	vopj	0	chars
㔭	che	ie	po	iepo	0	chars
㔭	chi	ii	po	iipo	0	chars
㔭	yi	yi	po	yipo	0	chars
㔮	nuo	no	tp	notp	0	chars
㔯	suan	sr	sr	srsr	0	chars
㔯	xuan	xr	sr	xrsr	0	chars
㔰	heng	hg	sy	hgsy	0	chars
㔱	yu	yu	so	yuso	0	chars
㔲	gui	gv	sn	gvsn	0	chars
㔳	gui	gv	sn	gvsn	0	chars
㔳	gun	gp	sn	gpsn	0	chars
㔳	huan	hr	sn	hrsn	0	chars
㔳	jue	jt	sn	jtsn	0	chars
㔴	yi	yi	sc	yisc	0	chars
㔵	xian	xm	sc	xmsc	0	chars
㔵	xuan	xr	sc	xrsc	0	chars
㔶	gan	gj	sc	gjsc	0	chars
㔶	gong	gs	sc	gssc	0	chars
㔷	lou	lb	sb	lbsb	0	chars
㔸	ti	ti	sn	tisn	0	chars
㔹	le	le	js	lejs	0	chars
㔺	shi	ui	jj	uijj	0	chars
㔻	pi	pi	mj	pimj	0	chars
㔼	sun	sp	qj	spqj	0	chars
㔽	yao	yk	yr	ykyr	0	chars
㔽	you	yb	yr	ybyr	0	chars
㔾	jie	jx	su	jxsu	0	chars
㔿	zou	zb	ml	zbml	0	chars
㕀	you	yb	lu	yblu	0	chars
㕁	que	qt	kl	qtkl	0	chars
㕂	qin	qn	mn	qnmn	0	chars
㕂	yin	yn	mn	ynmn	0	chars
㕃	xi	xi	mj	ximj	0	chars
㕄	zhi	vi	mi	vimi	0	chars
㕅	jia	jw	ml	jwml	0	chars
㕆	hu	hu	mr	humr	0	chars
㕇	la	la	mt	lamt	0	chars
㕈	hou	hb	mv	hbmv	0	chars
㕈	yi	yi	mv	yimv	0	chars
㕉	ke	ke	mr	kemr	0	chars
㕊	fu	fu	mb	fumb	0	chars
