 	gtzm,gxzm
☯	gsfm,gsfy,gsfa,aabg
☰	edmy
☱	udjr,ojrd
☲	solz,sozn
☳	fvgh
☴	yybo
☵	bro
☶	xoaa
☷	bkic
☸	aazj,vbho,vbfo
☹	aakl,eeqo
☺	aaxl,mmqo
☻	aaxl,mmqo
☼	gsyk,sjtv,aatw
☽	qvsj,ivys,aatw
☾	qvsj,aiys,aatw
☿	kvkm,aatw
♀	pakm,zmaa,aatw,aaxb
♁	bvcd,aatw
♂	uokm,kiym,aatw,aaxb
♃	fakm,aatw
♄	bakm,aatw
♅	acak,aatw
♆	vcak,aatw
♇	wcak,aatw
♈	nkuc,aaxz
♉	pamb,aaxz
♊	xxya,nnya,aaxz
♋	hxrl,aaxz
♌	qkya,qmya,aaxz
♍	whzm,aaxz
♎	agma,aaxz
♏	agik,aaxz
♐	odxa,odcu,aaxz
♑	tfuk,aaxz
♒	wcue,aaxz
♓	xxra,nnra,aaxz
♔	aaxq,caaa
♕	aaxq,pdaj
♖	aaxq,heaa,fkaa
♗	aaxq,rkgq,rjgq
♘	aaxq,xaaa,cuaa
♙	aaxq,pdao
♚	aaxq,caaa
♛	aaxq,pdaj
♜	aaxq,heaa,fkaa
♝	aaxq,rkgq,rjgq
♞	aaxq,xaaa,cuaa
♟	aaxq,pdao
♠	aapk,lbfv
♡	aapk
♢	aapk
♣	aapk,fmen
♤	aapk
♥	aapk,zbfv
♦	aapk,sybx
♧	aapk
♨	aacs,vknk,vjnk
♩	aayy
♪	aayy
♫	aayy
♬	aayy
♭	aayy
♮	aayy
♯	aayy
♲	aats,jjzm
♳	aats,jjzm
♴	aats,jjzm
♵	aats,jjzm
♶	aats,jjzm
♷	aats,jjzm
♸	aats,jjzm
♹	aats,jjzm
♺	aats,jjzm
♻	aats,jjzm
♼	aats
♽	aats
♾	aasx
♿	aabp,hofg,fofg
⚀	aatz
⚁	aatz
⚂	aatz
⚃	aatz
⚄	aatz
⚅	aatz
⚆	aats
⚇	aats
⚈	aats
⚉	aats
⚊	ykvv,ykro,agsz
⚋	yqvv,yobz,bvsz
⚌	gsyk,agag
⚍	kmyq,kmyo,bvag
⚎	kmyk,agbv
⚏	gsyq,gsyo,bvbv
⚐	aaqz
⚑	aaqz
⚠	iamj,ermj,aabp
⚡	sjgb,sjgk,aabp
⚢	aaxb
⚣	aaxb
⚤	aaxb
⚥	aaxb
⚦	aaxb
⚧	aaxb
⚨	aaxb
⚩	aaxb
⚪	aayx
⚫	aayx
⚬	aayx
⚭	aahy
⚮	aahy
⚯	aahy
⚰	aahy
⚱	aahy
⚲	aaxb
⚳	aatw,owkk,bwkk
⚴	aatw
⚵	aatw
⚶	aatw
⚷	aatw
⚸	aatw
⚽	aayd,jicd
⚾	aayd,fccd
⛄	aatq,fxod
⛅	aatq,yqvv,yobz
⛈	aatq,fyhf,fyff
⛱	aatq,ykou,ykoo
⛲	aacs,jenk
⛺	aacs,lcmw
✁	aagj
✂	aagj
✃	aagj
✄	aagj
✅	aats
✆	aatx
✇	aayx
✈	aajt,ytfq,ytfz
✉	aatx,nsbb
✊	aass,gatg,gaaj,dxum
✋	aass,gdli,vamd,namd
✌	aass,uqyd,qmmk,qumk
✍	aats
✎	aagj
✏	aagj
✐	aagj
✑	aagj
✒	aagj
✓	aats
✔	aats
✕	aats
✖	aats
✗	aats
✘	aats
✙	aazj
✚	aazj
✛	aazj
✜	aazj
✝	aazj
✞	aazj
✟	aazj
✠	aazj
✡	aazj
✿	aazw,lben
❀	aazw,nken
❁	aazw,lben
❂	aazj,orlk
❃	aazj,qohe,qifk
❄	aatq,fxen
❅	aatq,fxen
❆	aatq,fxen
❇	aazj,orlk
❈	aazj,orlk
❉	aazj,orlk
❊	aazj,orlk
❋	aazj,orlk
❶	juav
❷	jubd
❸	jucd
❹	julk
❺	jubx
❻	juso
❼	juhd
❽	juoa
❾	juqy
❿	jued
⭐	aatw,kmc
ⱼ	aaxz
ⱽ	aasz
⺀	tdaa·⺀
⺁	pdaa·⺁
⺄	ydaa·⺄
⺆	ldaa·⺆
⺇	qdaa·⺇
⺈	raaa·⺈
⺊	idaa·⺊
⺋	yyba·⺋
⺌	koaa·⺌
⺍	vdaa·⺍
⺑	oqd·八几
⺕	xbaa·⺕
