 	gtzm,gxzm
𣶊	vyan·氵阝一白
𣶋	vruo·氵{炙上}火
𣶌	vrmo·氵氏攵
𣶍	vzgs·氵爿大丶
𣶎	vlnk·氵山白
𣶏	vaxi·氵一⺕龰
𣶐	vgmy·氵大{卬左}丿卩
𣶑	vszr·氵亠㐅凵儿
𣶒	ndaa·{淵右}
𣶓	vijr·氵⺊囗夊,vios·氵⺊囗{丿丿}丶
𣶔	vhxn·氵戈又{丿丨}
𣶕	vhzc·氵匚屮王,vhab·氵匚屮一土
𣶖	vhmb·氵{巠上}丿土,vhc·氵{巠上}王
𣶗	voxk·氵人一㇇水
𣶘	vqrr·氵⺇夕夕
𣶙	kvkr·水水欠
𣶚	njnk·亻口{巟下}水
𣶛	vkro·氵水欠
𣶜	vnjz·氵亻口巛
𣶝	vblc·氵土且
𣶞	vjlb·氵口冂土
𣶟	vlos·氵山人亡
𣶠	vhou·氵七人⺗
𣶡	vjir·氵囗⺊夕
𣶢	vbrs·氵二勹方,vsrs·氵亠勹方
𣶣	vakz·氵一由厶
𣶤	vlgj·氵ㄇ大口
𣶥	vbg·氵土石
𣶦	vjg·氵囗石
𣶧	vomr·氵㐅凵丿夊
𣶨	vgi·氵𠂇虫
𣶩	vakz·氵一田凵
𣶪	vkc·氵日王
𣶫	vsrk·氵讠匕日
𣶬	vyxa·氵了口又一
𣶭	viym·氵虍力
𣶮	vguz·氵厂䒑{艸左}
𣶯	vxd·氵門
𣶰	vyaj·氵阝丁口
𣶱	vmj·氵矢口
𣶲	vfkm·氵木小丿
𣶳	vrcs·氵夂玉
𣶴	vqji·氵月口丨
𣶵	viii·氵止龰
𣶶	vpf·氵爫木
𣶷	kvuu·水火火
𣶸	vmxb·氵禾⺕
𣶹	votd·氵行冫
𣶺	vwlc·氵宀且
𣶻	vyki·氵廴由
𣶼	veoy·氵艹八刀
𣶽	vebz·氵艹二厶
𣶾	vrou·氵匕人⺗,vhou·氵七人⺗
𣶿	viae·氵丨一丨⺊一十,viib·氵丨一丨⺊キ
𣷀	vtij·氵广⺊口
𣷁	vwzd·氵穴巛
𣷂	vwcs·氵宀玉
𣷃	vugy·氵䒑大力
𣷄	vtxo·氵广⺕人
𣷅	vwxj·氵宀又口
𣷆	vwb·氵穴土
𣷇	vuuo·氵火灬
𣷈	vxld·氵肀冃
𣷉	vaxa·氵一㇉口又一
𣷊	vate·氵一夕⺀十
𣷋	vymi·氵𠃌丿虫
𣷌	vfv·氵雨
𣷍	vxl·氵尸目
𣷎	veq·氵艹月
𣷏	veax·氵艹人一㇇,vesx·氵艹人丶㇇
𣷐	vkii·氵日龰
𣷑	vixz·氵⺊⺕女
𣷒	vzoc·氵𠃋𠃋入王
𣷓	vmj·氵禾口
𣷔	vwsy·氵戶方
𣷕	vzxs·氵糸又
𣷖	snok·亠{丿亅}八人水
𣷗	cexk·耳又水
𣷘	kvfk·水木水
𣷙	wmmk·戶攵水
𣷚	edok·十人人人氺,gdok·大人人氺
𣷛	kiak·由夕水
𣷜	kvkm·水水攵
𣷝	veeg·氵十卄兀
𣷞	vef·氵廿木
𣷟	vgub·氵大{幸下}
𣷠	vkq·氵日月
𣷡	vjiw·氵口丨心
𣷢	vzjq·氵𠃊口月
𣷣	vld·氵岡
𣷤	vlk·氵{冂块}日
𣷥	vmq·氵龵月
𣷦	vouf·氵人米
𣷧	vsgj·氵丶不口
𣷨	vurk·氵䒑一儿刂
𣷩	vuq·氵火⺼
𣷪	vlsc·氵山丶王
𣷫	vsmo·氵方攵
𣷬	vuok·氵䒑𠃊人刂
𣷭	voxi·氵彳皮
𣷮	vge·氵石廾
𣷯	vwpd·氵辶斤
𣷰	vlg·氵山石
𣷱	vnjo·氵亻一口乂
𣷲	vpxp·氵⺁コ斤
𣷳	vtrs·氵广氏丶
𣷴	vcrh·氵龶𧘇
𣷵	vbjk·氵二口小
𣷶	vizz·氵⺊囗𠃋厶
𣷷	vsxs·氵{变上}又
𣷸	vew·氵艹之
𣷹	vmgk·氵丿大水
𣷺	vyyx·氵习习又
𣷻	vbla·氵二{冂块}一
𣷼	vfzs·氵{車}厶
𣷽	vnwx·氵亻⺕冖又
𣷾	vfqy·氵車九
𣷿	vgbq·氵𠂇工⺼
𣸀	vgi·氵兀虫
𣸁	vxbp·氵肀二彡
𣸂	vhbo·氵戈工八
𣸃	vefs·氵艹{木}丶
𣸄	vrok·氵夂人日,vrik·氵夂卜日
𣸅	vdmi·氵扌舌
𣸆	veir·氵艹止匕
𣸇	vnko·氵亻一日乂
𣸈	vwux·氵宀火又
𣸉	vbuc·氵土羊
𣸊	vobz·氵人一㇇二厶
𣸋	vkgs·氵田大丶
𣸌	vkaj·氵小丿丁口
𣸍	vxqx·氵癶殳
𣸎	vilx·氵⺊{扁下}又
𣸏	vzxm·氵女又手
𣸐	kvgk·水石水
𣸑	vfaf·氵木一木
𣸒	vgse·氵厂辛
𣸓	vzzu·氵厶厶厶䒑
𣸔	vwbk·氵戶示
𣸕	bdnk·二{丿丨}白水
𣸖	vmgu·氵丿大{幸下}
𣸗	bdmk·二小攵水
𣸘	vwwr·氵辶宀匕
𣸙	vjkb·氵口冂〢二
𣸚	viyi·氵虫也
𣸛	vkqk·氵⺌⺼刂
𣸜	vloy·氵目八刀
𣸝	vbyy·氵工习习
𣸞	aukk·一{伞下}水水
𣸟	vzrk·氵巛一夕刂
𣸠	vzrk·氵𠃋厶一夕刂
𣸡	vbuf·氵士米
𣸢	vrwm·氵匕匕心丿
𣸣	veel·氵十卄贝
𣸤	vlsy·氵罒方
𣸥	vsmp·氵立丿彡
𣸦	vwrz·氵冖二儿女
𣸧	vwgu·氵冖八大丷
𣸨	vewu·氵艹冖火
𣸩	vpel·氵⺁十目
𣸪	vmkr·氵𠂉日夊
𣸫	vzzb·氵厶厶厶土
𣸬	vkyj·氵日刀口
𣸭	vksu·氵日立
𣸮	vobz·氵人{之}二厶
𣸯	vfmy·氵木𠂉子
𣸰	vgjz·氵厂口口乚
𣸱	very·氵艹夕㔾
𣸲	vcyg·氵丰刀大
𣸳	vgsr·氵大亠𧘇
𣸴	vfwq·氵木宀九
𣸵	vhaz·氵戊一女
𣸶	varh·氵一夕戋
𣸷	vguk·氵大丷水
𣸸	vagk·氵一大氺
𣸹	vxue·氵尸䒑廾
𣸺	vgf·氵石木
𣸻	vehm·氵艹戊
𣸼	vgkv·氵厂日{⺍}
𣸽	vege·氵艹大十
𣸾	viju·氵⺊口灬
𣸿	vejr·氵艹口儿
𣹀	vemq·氵艹丿月
𣹁	vnoy·氵白八刀
𣹂	vncq·氵亻三殳
𣹃	vryl·氵{卬左}刀皿
𣹄	vpld·氵爫用
𣹅	uakk·䒑⺝刂水
𣹆	vgsl·氵大丶皿
𣹇	vkaj·氵小丿丁口
𣹈	vknk·氵日白
𣹉	vklk·氵水皿
𣹊	vppd·氵舟彡
𣹋	vrqd·氵{鳥上}几
𣹌	vumf·氵火禾
𣹍	vyos·氵弓囗{丿丿}丶
𣹎	vyao·氵弓弓一八
𣹏	vyyy·氵子子子
𣹐	vhkz·氵匸日女
𣹑	vji·氵口虫
𣹒	vrok·氵勹{丿丿}田
𣹓	vezj·氵艹厶口
𣹔	vwld·氵辶冋
𣹕	voxb·氵彳肀二
𣹖	varl·氵一夕且
𣹗	vcop·氵王人彡
𣹘	vobd·氵彳土寸
𣹙	vgqy·氵𠂇月阝
𣹚	vnje·氵{向框}口廾
𣹛	kvnc·水白王
𣹜	vxy·氵{艮}卩
𣹝	vykq·氵阝⺌⺼
𣹞	vwgs·氵冖豕丶
𣹟	vblo·氵工貝
𣹠	vwrs·氵冖⺈口儿丶
𣹡	vbrk·氵耂匕日
𣹢	vxju·氵龴囗{幸下}
𣹣	vyyi·氵刀刀刀止
𣹤	vzjm·氵女口手
𣹥	vncq·氵亻龶月
𣹦	vwwx·氵宀⺕冖又
𣹧	vwmi·氵穴𠂉ㅑ
𣹨	vzzk·氵屮二{艸左}刂,vlzk·氵山二{艸左}刂
𣹩	vyyq·氵力力力⺼
𣹪	vsmm·氵方𠂉毛
𣹫	vtfk·氵广車
𣹬	bwkq·士冖一水殳
𣹭	vank·氵一厶{巟下}水,vsnk·氵亠厶{巟下}水
𣹮	vnrr·氵{囟框}㐅匕匕
𣹯	vraz·氵勹日八一㇉
𣹰	vxlx·氵⺕冖巾又
𣹱	vojr·氵人一口欠
𣹲	vxse·氵尸辛
𣹳	kvnk·水一厶{巟下}水
𣹴	vml·氵生目
𣹵	vlcz·氵山耳乚
𣹶	vobr·氵人人土夊
𣹷	vfli·氵甫巾
𣹸	vqub·氵月龹
𣹹	hmaa·戊一火一一一一一
𣹺	vjzk·氵口巛水
𣹻	nknk·白白水
𣹼	vclb·氵耳冂二
𣹽	vjmb·氵口土丿土,vjbc·氵口土王
𣹾	vsje·氵亠口口十
𣹿	vsul·氵亠丷{冂块}
𣺀	vjir·氵囗止夕
𣺁	vhaq·氵戊一月
𣺂	vkwz·氵日宀女
𣺃	vzzq·氵厶厶厶⺝
𣺄	vssu·氵立立
𣺅	vnro·氵臼勹{丿丿}
𣺆	vre·氵{鱼上}廾
𣺇	vbke·氵二小甘
𣺈	vnaj·氵亻大丁口
𣺉	vwff·氵冖木木
𣺊	vwgq·氵宀豕
𣺋	vefj·氵艹西
𣺌	vckm·氵耳小丿
𣺍	vxma·氵癶矢
𣺎	vxlx·氵⺕冖巾又
𣺏	vemo·氵龷巾丿人
𣺐	vlmo·氵目牛人
𣺑	vwol·氵宀八乂山
𣺒	vssr·氵文亠𧘇
𣺓	vszt·氵亠口八𠄌{𧘇右}
𣺔	vgju·氵大一口䒑
𣺕	vfae·氵車一十
𣺖	veou·氵龷八⺗
𣺗	vfuo·氵覀火
𣺘	vxfb·氵尸甫
𣺙	veia·氵龷八冂丨一
𣺚	vggh·氵大辰
𣺛	verm·氵艹夂㐄
𣺜	veka·氵艹㇇水一
𣺝	vkzz·氵日𠃋厶𠃋厶
𣺞	veke·氵艹日十
𣺟	vkyy·氵小丿习习
𣺠	vldm·氵貝{于下}丿
𣺡	vmrb·氵千{北左}匕二
𣺢	vnmf·氵亻攵木,vnrf·氵亻夂朩
𣺣	vpjy·氵⺁一口巴
𣺤	vzkk·氵巛田刂
𣺥	vrrz·氵勹{艸左}勹{艸左}
𣺦	vnxs·氵隹又
𣺧	vpal·氵爫冖一山
𣺨	vmcu·氵攵王丷,vrcu·氵夂王丷
𣺩	uaqk·䒑{艸左}月水
𣺪	kvjl·水口貝
𣺫	vnrp·氵亻丨夂彡
𣺬	vesn·氵艹亡{巟下}
𣺭	vhlo·氵戊一冂人
𣺮	vgch·氵大镸
𣺯	vkak·氵日一业
𣺰	vjkq·氵口⺌⺼
𣺱	vmxm·氵⺮尹
𣺲	vuqx·氵米殳
𣺳	vxkk·氵尸氺刂
𣺴	vzzn·氵厶厶厶{斉下}
𣺵	vzgs·氵{互中}豕丶
𣺶	higk·牙攵厂水
𣺷	vrzq·氵勹㐅凵⺝
𣺸	vuuo·氵羊火
𣺹	vxeh·氵尸卄{畏下}
𣺺	vobo·氵彳走
𣺻	vlgl·氵ㄇ大皿
𣺼	vkjr·氵⺌冖口儿
𣺽	vlbz·氵罒土厶
𣺾	vezj·氵艹女口
𣺿	vlrc·氵山夂丰
𣻀	vzlo·氵糹冂人
𣻁	vped·氵釒十
𣻂	vdpj·氵扌斤口
𣻃	vnsj·氵亻立口
𣻄	voom·氵彳人{余下}
𣻅	bjkm·士口氵小丿
𣻆	vymz·氵子丿糸
𣻇	vwxo·氵辶艮
𣻈	vncb·氵亻𡗗キ
𣻉	vewl·氵廿𠃊冖巾
𣻊	hiok·牙攵人氺
𣻋	viex·氵⺊囗卄又
𣻌	vukv·氵⺷水
𣻍	vrzu·氵⺈口一㇉灬
𣻎	vwrm·氵宀二儿攵
𣻏	vrf·氵{鳥上}木
𣻐	vilc·氵虍且
𣻑	vosq·氵㐅{木}丶殳,vofq·氵㐅朩殳
𣻒	vsow·氵方𠂉人{之}
𣻓	vsmm·氵方𠂉生
𣻔	vfau·氵覀一火
𣻕	vtff·氵广{木}{木}
𣻖	vkjr·氵小丿⺈口儿
𣻗	vmrr·氵禾夕夕
𣻘	vfkq·氵木⺌⺼
𣻙	vmjj·氵𠂉口口口
𣻚	vofs·氵行{木}丶
𣻛	vcnb·氵𡗗臼
𣻜	vmnd·氵⺮亻寸
𣻝	vfgy·氵覀大㔾
𣻞	vkbd·氵田士寸
𣻟	vhh·氵戊臣
𣻠	vote·氵人{余下}⺀十
𣻡	vesx·氵艹丶艮
𣻢	vwxl·氵辶龴{甬下}
𣻣	kvkk·水止{小}水
𣻤	kvnk·水亠厶{巟下}水,kvnf·水亠厶{巟下}木
𣻥	vnk·氵⺽日
𣻦	voxf·氵人一㇇酉
𣻧	vdxw·氵扌人一㇇心
𣻨	vxmk·氵尸毛水
𣻩	vmjy·氵矢口阝
𣻪	vbom·氵土{丿亅}八攵
𣻫	vlyy·氵目习习
𣻬	vxuf·氵癶米
𣻭	vyyl·氵刀刀刀皿
𣻮	nkll·白水山山
𣻯	rrgk·匕頁水
𣻰	vuni·氵忄隹
𣻱	vxka·氵{⺻}日一
𣻲	vjjj·氵口丨一囗口
𣻳	vrgo·氵匕頁
𣻴	vcsr·氵{馬上}亠𧘇
𣻵	vjaz·氵口口口一㇉
𣻶	visb·氵⺊囗{丿丿}丶土,virb·氵⺊囗夕土
𣻷	vxbd·氵尸示寸
𣻸	vkjl·氵⺌冖口巾
𣻹	vhxb·氵臣又土
𣻺	veb·氵其土
𣻻	vebr·氵艹宀二儿
𣻼	vswm·氵亠口冖毛
𣻽	vqhb·氵月{巠上}工
𣻾	vkkm·氵日土小丿
𣻿	vese·氵艹辛
𣼀	vtrp·氵广七夊彡
𣼁	vusk·氵羊永
𣼂	vwol·氵宀一八目
𣼃	vumf·氵龹{余下}
𣼄	vtgz·氵{鹿上}𠂇厶
𣼅	vsrf·氵亠𠃋厶𠤎木
𣼆	vslf·氵亠罒木
𣼇	vxkz·氵尸㇇氺凵
𣼈	vxii·氵乛龰虫
𣼉	vxhk·氵尸至刂
𣼊	vfor·氵木人人夊
𣼋	vrmr·氵匕禾欠
𣼌	vczq·氵龶𠃋厶月
𣼍	vlal·氵山人一{扁下}
𣼎	vkni·氵小隹
𣼏	vekz·氵艹㇇氺凵
𣼐	vxcd·氵門三
𣼑	vejf·氵艹口木
𣼒	vemz·氵艹丿糸
𣼓	vknk·氵小白小
𣼔	vkpy·氵日爫子
𣼕	vojl·氵人一口{扁下}
𣼖	vmkf·氵禾刂木
𣼗	vwso·氵冖一日亠八
𣼘	bxxk·士{声下}丿㇇又水,bxsk·士{声下}㇋丿㇏水
𣼙	nkrk·白⺕夕水
𣼚	vclb·氵耳冂土
𣼛	velv·氵廿巾{冫く}
𣼜	vgnz·氵大⺽乚
𣼝	vnxf·氵亻丨⺊又木
𣼞	vnjj·氵亻口口口
𣼟	vtkv·氵{鹿上}水
𣼠	vszq·氵亠{冫く}𠃋厶几
𣼡	vwwl·氵宀⺕冖巾
𣼢	vyow·氵习习人{之}
𣼣	vxoo·氵尸一巾入入
𣼤	vbbg·氵土土石
𣼥	vezb·氵艹爿士
𣼦	vkxb·氵日{癶}キ
𣼧	vsze·氵亠{冫く}𠃋厶十
𣼨	vxje·氵尸十口廾
𣼩	vybz·氵阝人一㇇二厶
𣼪	ovaj·八氵戊一口
𣼫	vkxi·氵日土龴乛亅
𣼬	vkdp·氵日扌斤
𣼭	vbni·氵土隹
𣼮	vkir·氵日一龰匕
𣼯	vbsj·氵土立口
𣼰	vcew·氵王廾心
𣼱	vnlz·氵亻日冂{丄、}
𣼲	vjni·氵口隹
𣼳	vbuq·氵土{幸下}丸
𣼴	vfro·氵車欠
𣼵	vemk·氵艹禾刂
𣼶	vxj·氵門口
𣼷	veym·氵革力
𣼸	vanh·氵一自戈
𣼹	vlxo·氵目艮
𣼺	vnor·氵{囟框}㐅八夊
𣼻	vfad·氵⻗一{于下}
𣼼	vyfk·氵阝木日
𣼽	vsxq·氵丶{艮}月
𣼾	vcmy·氵耳{卬左}丿卩
𣼿	azmz·一厶水𠂉母,szmz·亠厶水𠂉母
𣽀	vagn·氵一自大{丿丨},vaon·氵一白一人{丿丨}
𣽁	vlgq·氵罒豕
𣽂	vgnd·氵大{淵右}
𣽃	vrbj·氵⺈厂儿工口
𣽄	vguk·氵厂火火刂
𣽅	vcmi·氵耳舌
𣽆	vmbq·氵⺮工{凡}
𣽇	vecx·氵艹耳又
𣽈	vggl·氵而而
𣽉	varu·氵一申勹灬
𣽊	vioj·氵⺊冖一八人口
𣽋	vlmj·氵目⺧口
𣽌	vrnr·氵⺈臼欠
𣽍	vngq·氵自乑
𣽎	vnbe·氵自二二十,vnve·氵自{冫く}十
𣽏	vbwz·氵亞心
𣽐	vakl·氵一ㅒ{南下}
𣽑	vwee·氵辶大十廾
𣽒	vezl·氵廿𠃊貝
𣽓	vyou·氵习习人⺗
𣽔	vysb·氵弓囗{丿丿}丶土
𣽕	vfqz·氵木木九厶
𣽖	vnhh·氵片戈戈
𣽗	vcgs·氵王豕丶
𣽘	vsmf·氵亠夕㐄木
𣽙	vkru·氵日匕匕灬
𣽚	vskh·氵立日戈
𣽛	vmaj·氵⺮人一口
𣽜	vnma·氵身矢
𣽝	vbqi·氵工風
𣽞	vkoj·氵日夂人口,vkij·氵日夂卜口
𣽟	vbbr·氵士示欠
𣽠	vkix·氵田一{丿丨}⺊又
𣽡	vefd·氵十甫寸
𣽢	vsij·氵立口丨口
𣽣	voeo·氵行龷八
𣽤	vmfl·氵⺮木冂
𣽥	vaeg·氵一十頁
𣽦	vhjz·氵戊一口女
𣽧	vwwx·氵宀亻⺕冖又
𣽨	pyuk·舟龹氺
𣽩	vszn·氵方𠂉一厶{巟下}
𣽪	vzxl·氵巛{声下}目
𣽫	vezw·氵艹八厶心
𣽬	vwot·氵宀{冓上}八⺀
𣽭	vjll·氵囗儿ㄇ皿
𣽮	vzez·氵女爫一十凵
𣽯	vnlb·氵身冂土
𣽰	vpmi·氵舟舌
𣽱	vszq·氵亠厶厶厶⺝
𣽲	vswm·氵亠𠃋厶冖牛
𣽳	vuxq·氵䒑{兼下}几
𣽴	vjkq·氵口田⺼
𣽵	vlfa·氵山{癶}木一
𣽶	vxzz·氵尸毛屮凵
𣽷	vlro·氵贝日勹{丿丿}
𣽸	vwmj·氵穴⺧口
𣽹	vwlb·氵宀心冂土
𣽺	vjbz·氵口口口二㇉
𣽻	vykh·氵阝田{畏下}
𣽼	vggs·氵大丶大丶大丶
𣽽	vffq·氵木木月
𣽾	vslr·氵立見
𣽿	vmmb·氵禾口丿土,vmjc·氵禾口王
𣾀	vhnn·氵匚亻隹
𣾁	veec·氵艹其
𣾂	vyrn·氵阝匕匕白
𣾃	vhjg·氵戊一口兀
𣾄	vnoo·氵自亻人人
𣾅	vipk·氵止舟刂
𣾆	vtgj·氵广艹𠂇口
𣾇	vufg·氵丷酉大
𣾈	vwwl·氵宀心皿
𣾉	vwxl·氵宀{声下}目
𣾊	vwbr·氵穴口二儿
𣾋	vwgh·氵穴辰
𣾌	vsul·氵亠丷{冂块}
𣾍	vcug·氵耳䒑大
𣾎	vyau·氵了口又一灬
𣾏	vcaj·氵王大丁口
𣾐	vfaj·氵木大丁口
𣾑	vejc·氵廿一口龶
𣾒	vhag·氵戊口一大
𣾓	vejh·氵十口口{畏下}
𣾔	vcax·氵王王人一㇇,vcsx·氵王王人丶㇇
𣾕	vffk·氵木木水
𣾖	verr·氵艹土儿夕,veor·氵艹土八夕
𣾗	vczy·氵龶糸力
𣾘	veee·氵艹大十廾
𣾙	vkfv·氵水雨
𣾚	vluq·氵山一口䒑几
𣾛	vexa·氵艹一㇉口又一
𣾜	vkkk·氵水水水
𣾝	vkk·氵非日
𣾞	vlgq·氵罒豕
𣾟	veej·氵艹囗十口
𣾠	vpro·氵釒欠
𣾡	vwfv·氵戶雨
𣾢	idkg·⺊一水頁
𣾣	vwae·氵辶大丷一十
𣾤	vhru·氵{匸}儿{匸}儿灬
𣾥	vipy·氵止舟刀
𣾦	vkjm·氵⺌冖口手
𣾧	vzly·氵𠃋厶𠃋厶山子
𣾨	vogl·氵人人丨厂目
𣾩	vtxu·氵广{肀}米
𣾪	vslj·氵亠丷冖巾口
𣾫	vwww·氵心心心
𣾬	vxbr·氵門二儿
𣾭	vybj·氵弓工工口
𣾮	vxqq·氵尸兀几殳
𣾯	vzgb·氵厶厶厶大土
𣾰	veok·氵十人人人氺,vgok·氵大人人氺
𣾱	vfgs·氵⻗大丶
𣾲	vfgz·氵⻗𠂇厶
𣾳	vfnr·氵⻗亻𠤎
𣾴	vkuc·氵业{菐下}
𣾵	vzry·氵糹⺈巴
𣾶	vyug·氵阝丷豕
𣾷	vmjl·氵丿大口冋
𣾸	vdai·氵扌日一龰
𣾹	vwrs·氵辶⺈口儿丶
𣾺	vxae·氵門一廾
𣾻	vjbm·氵口者
𣾼	vbhz·氵走戈𠄌
𣾽	vmmm·氵毛毛毛
𣾾	vksj·氵小丿立口
𣾿	vjkh·氵口田{畏下}
𣿀	vfok·氵甫人氺
𣿁	vklr·氵氺冂欠
𣿂	vybq·氵阝𠂇工⺝
𣿃	vylz·氵阝日冂{丄、}
𣿄	vlak·氵山戊一{小}
𣿅	vekb·氵艹千日二
𣿆	vrqd·氵鳥几
𣿇	vmxw·氵禾人一㇇心
𣿈	vwoe·氵穴亠人人十
𣿉	vsrk·氵訁匕日
𣿊	vflm·氵木{柬中}攵
𣿋	vfmu·氵⻗丿{乎下}
𣿌	vwkr·氵辶日匃
𣿍	vzkl·氵彑氺皿,vxkl·氵⼹氺皿
𣿎	veaj·氵艹戊一口
𣿏	vfqj·氵木木九口
𣿐	vlhg·氵貝戈𠂇
𣿑	vejy·氵龷八口巴
𣿒	vnse·氵自辛
𣿓	vlkc·氵罒非
𣿔	vwgu·氵辶大羊
𣿕	vtzu·氵{鹿上}一㇉灬
𣿖	vfbk·氵覀示刂
𣿗	vzsm·氵屮凵方攵
𣿘	vfro·氵木日一勹{丿丿}
𣿙	vfll·氵木冂貝
𣿚	viof·氵⺊囗人人木
𣿛	vcrj·氵耳氏口
𣿜	vumw·氵火禾心
𣿝	vebd·氵艹土土寸
𣿞	vsbr·氵亠日土𧘇
𣿟	vwjx·氵宀衤口又
𣿠	vyjj·氵刀丶刀丶一囗口
𣿡	vrxs·氵魚又
𣿢	veof·氵龷八車
𣿣	vbsl·氵土土刀丶皿
𣿤	virs·氵⺊口⺊口𠂊㇏
𣿥	vxmk·氵龴乛亅丿攵日
𣿦	vflo·氵覀貝
𣿧	vxrl·氵龴乛亅丿夂目
𣿨	vrlu·氵⺈用羊
𣿩	vuwb·氵火火冖土
𣿪	vwun·氵辶䒑自
𣿫	vxwl·氵又又又冖且
𣿬	vhvn·氵匚氵隹
𣿭	vumh·氵⺷手戈
𣿮	veag·氵艹癶一大
𣿯	veex·氵艹⺕冖十又
𣿰	viol·氵⺊冖八人目
𣿱	vszu·氵亠丨日㇉灬
𣿲	vxzz·氵尸氺屮凵
𣿳	vgku·氵大丷日火
𣿴	vero·氵艹日一勹{丿丿}
𣿵	vwcr·氵穴龶𧘇
𣿶	vwku·氵宀一由灬
𣿷	vhbb·氵戊示土
𣿸	vxsl·氵門亠巾
𣿹	vjjl·氵囗口貝
𣿺	vqfz·氵⺼覀女
𣿻	vekk·氵艹宀小小
𣿼	viol·氵⺊乛丿八人目
𣿽	vlhm·氵貝㦮
𣿾	vnaj·氵亻宀大丁口
𣿿	vpps·氵釒瓜
𤀀	vnaz·氵{囟框}釆一㇉
𤀁	nkkk·白水水水
𤀂	vejm·氵艹勹口攵
𤀃	vis·氵虍言
𤀄	vkql·氵日月皿
𤀅	vjaj·氵口口大一口
𤀆	vlss·氵山立立
𤀇	vmzz·氵𠂉母糸
𤀈	vnog·氵{囟框}※大
𤀉	vojl·氵人一口{南下}
𤀊	vpxo·氵豸艮
𤀋	vwno·氵宀一⺽人
𤀌	vckk·氵三田田
𤀍	vfop·氵⻗人彡
𤀎	vlgu·氵罒大{幸下}
𤀏	vshb·氵訁弋工
𤀐	vewl·氵艹亠丷冖巾
𤀑	vwlb·氵宀心丿冂土
𤀒	vokw·氵人一⺝刂心
𤀓	vwzk·氵礻彑氺,vwxk·氵礻⼹氺
𤀔	voro·氵飠欠
𤀕	vwob·氵宀{冓上}八土
𤀖	vlnj·氵山鬼
𤀗	vmjn·氵⺧儿口{呂下},vmjj·氵⺧儿口口
𤀘	veqi·氵艹風
𤀙	vjrz·氵口烏
𤀚	veof·氵艹门㐅木
𤀛	vxoo·氵尸匕木人人
𤀜	vlcq·氵目龶⺝
𤀝	vczy·氵龶糸阝
𤀞	vebm·氵艹者
𤀟	vuzb·氵䒑𠃋厶𠃋厶土
𤀠	vhyu·氵{𦣝}巳灬
𤀡	vucx·氵{幸下}耳又
𤀢	vbwb·氵土厶穴工
𤀣	vlgx·氵目爫一𠂇又
𤀤	vmle·氵⺮目廾
𤀥	vman·氵⺮田一{丿丨}
𤀦	vfkg·氵木口刂石
𤀧	vrjr·氵⺈口儿⺈口儿
𤀨	vwqk·氵穴人一月刂
𤀩	hmlk·臣𠂉一罒水
𤀪	vxgo·氵皮頁
𤀫	vsse·氵{辣左}辛
𤀬	vueg·氵米{冓上}大
𤀭	vjal·氵口口一貝
𤀮	vsff·氵亠厶厶木木
𤀯	vrds·氵魚寸
𤀰	vkjl·氵日亠口冋
𤀱	vwae·氵辶大丨一⺊一十
𤀲	seks·{辣左}水辛
𤀳	vxce·氵門耳
𤀴	vrgq·氵{鳥上}豕
𤀵	vxoi·氵門行
𤀶	vini·氵虍隹
𤀷	vxzq·氵肀二一厶⺼
𤀸	vgr·氵大魚
𤀹	viol·氵⺊乛丿一八人目
𤀺	vbyj·氵士口䒑力口
𤀻	vzrf·氵{艸左}屮冖儿木,vzof·氵{艸左}屮冖八木
𤀼	vzzk·氵糹彑氺,vzxk·氵糹⼹氺
𤀽	vzaj·氵糹大丁口
𤀾	vkee·氵业{幸下}十十,vkge·氵业{幸下}𠂇十
𤀿	vwoo·氵宀大㐅㐅㐅㐅
𤁀	vsep·氵立日十彡
𤁁	vsmm·氵亠㇉了一攵牛
𤁂	vwzl·氵宀毌貝
𤁃	veol·氵廿巾入入山
𤁄	vgrb·氵厂日土儿土,vgob·氵厂日土八土
𤁅	vbwh·氵士口冖至
𤁆	vljr·氵罒亠口𧘇
𤁇	veoj·氵艹穴人口
𤁈	vmp·氵⺮金
𤁉	veub·氵廿口人丷土
𤁊	vios·氵丨一⺊罒𠂇乂丶,vexs·氵艹罒𠂇又丶
𤁋	vgfi·氵厂木木止
𤁌	vnge·氵{向框}釆𠂇十,vnpe·氵{向框}釆廾,vnee·氵{向框}釆十十
𤁍	vxxi·氵尸止尸止
𤁎	vfku·氵覀日{伞下}
𤁏	vcek·氵耒龷日
𤁐	vxrj·氵門夂口
𤁑	vlhy·氵山日戊𠃌
𤁒	vrxi·氵匕矢龴乛龰
𤁓	vcez·氵王{炙上}𠂉十凵
𤁔	vnte·氵鬼⺀十
𤁕	vsfj·氵{辣左}木口
𤁖	vwkf·氵衤日木
𤁗	vznl·氵糹白巾
𤁘	vsji·氵立日乚口丨
𤁙	doaj·扌八氵戊一口
𤁚	vorm·氵彳山二儿攵
𤁛	vbmy·氵者𠄎丿子
𤁜	vsrm·氵亠刀丷丨{氏}牛
𤁝	vxi·氵門虫
𤁞	veok·氵廿巾入入水
𤁟	vbhj·氵士弓コ匚口
𤁠	vwez·氵辶{炙上}𠂉十凵
𤁡	vdke·氵扌覀日十
𤁢	vknh·氵小隹戈
𤁣	vlrr·氵罒厶⺼匕匕
